draft_year,round,pick,player,drafted_by,college,rookie_games,rookie_half_ppr_total,wk15_17_half_ppr_total,wk15_17_games_played,wk15_17_best_week,any_wk15_17_ge_15,any_wk15_17_ge_20
2025,3,67,Harold Fannin,CLE,Bowling Green,16,150.4,36.0,3,17.5,True,False
2025,5,165,Oronde Gadsden II,LAC,Syracuse,15,106.9,20.0,3,10.7,False,False
2022,4,143,Chigoziem Okonkwo,TEN,Maryland,16,81.2,13.4,3,8.0,False,False
2022,4,139,Isaiah Likely,BAL,Coastal Carolina,14,73.3,12.4,3,8.7,False,False
2022,4,106,Cade Otton,TAM,Washington,16,72.1,7.4,3,2.7,False,False
2025,4,120,Gunnar Helm,TEN,Texas,16,69.7,15.4,3,12.9,False,False
2022,3,80,Greg Dulcich,DEN,UCLA,10,69.6,13.5,2,11.9,False,False
2024,4,121,AJ Barner,SEA,Michigan,15,63.5,9.3,2,8.3,False,False
2023,3,78,Tucker Kraft,GNB,South Dakota St.,14,63.0,29.5,3,13.7,False,False
2022,3,73,Jelani Woods,IND,Virginia,12,61.7,13.3,3,5.8,False,False
2022,4,112,Daniel Bellinger,NYG,San Diego St.,11,60.0,10.3,3,5.7,False,False
2024,4,101,Ja'Tavion Sanders,CAR,Texas,15,56.7,1.0,2,1.0,False,False
2024,4,107,Theo Johnson,NYG,Penn St.,11,53.6,0.0,0,0.0,False,False
2021,5,147,Brevin Jordan,HOU,Miami (FL),8,45.8,9.0,2,7.6,False,False
2025,5,173,Jackson Hawes,BUF,Georgia Tech,13,44.7,5.0,2,3.6,False,False
2021,3,83,Tommy Tremble,CAR,Notre Dame,15,43.1,4.5,2,3.2,False,False
2021,4,124,John Bates,WAS,Boise St.,12,40.9,19.9,3,11.5,False,False
2022,4,129,Jake Ferguson,DAL,Wisconsin,11,38.9,4.1,2,2.9,False,False
2025,5,163,Mitchell Evans,CAR,Notre Dame,14,38.7,4.9,3,3.8,False,False
2022,6,208,Connor Heyward,PIT,Michigan St.,15,29.8,2.1,3,2.1,False,False
2023,5,162,Will Mallory,IND,Miami (FL),11,29.7,9.1,2,6.7,False,False
2022,5,170,Teagan Quitoriano,HOU,Oregon St.,7,26.8,7.3,2,7.3,False,False
2024,4,123,Cade Stover,HOU,Ohio St.,14,26.8,0.6,1,0.6,False,False
2024,4,115,Erick All,CIN,Iowa,8,25.8,0.0,0,0.0,False,False
2022,5,177,James Mitchell,DET,Virginia Tech,8,22.8,8.3,3,4.1,False,False
2023,5,175,Davis Allen,LAR,Clemson,7,20.5,1.9,3,1.9,False,False
2023,5,147,Josh Whyle,TEN,Cincinnati,9,19.9,0.0,0,0.0,False,False
2022,6,218,Ko Kieft,TAM,Minnesota,13,17.5,0.0,3,0.0,False,False
2021,4,127,Kylen Granson,IND,SMU,10,16.1,1.1,1,1.1,False,False
2021,5,162,Noah Gray,KAN,Duke,7,13.1,3.3,2,2.2,False,False
2024,7,246,Devin Culp,TAM,Washington,2,11.3,6.7,1,6.7,False,False
2022,6,198,Grant Calcaterra,PHI,SMU,6,10.6,0.0,1,0.0,False,False
2023,3,93,Darnell Washington,PIT,Georgia,8,9.6,1.3,1,1.3,False,False
2021,5,145,Luke Farrell,JAX,Ohio St.,8,9.1,1.2,1,1.2,False,False
2023,5,171,Payne Durham,TAM,Purdue,6,8.3,3.0,1,3.0,False,False
2021,3,97,Tre' McKitty,LAC,Georgia,6,7.5,6.3,3,3.7,False,False
2022,4,128,Charlie Kolar,BAL,Iowa St.,1,6.9,0.0,0,0.0,False,False
2024,3,82,Tip Reiman,ARI,Illinois,8,6.7,1.8,1,1.8,False,False
2022,5,149,Cole Turner,WAS,Nevada,7,3.3,0.0,1,0.0,False,False
2024,7,231,Jaheim Bell,NWE,Florida St.,4,3.0,0.0,1,0.0,False,False
2025,7,248,Moliki Matavao,NOR,UCLA,1,2.0,2.0,1,2.0,False,False
2021,3,81,Hunter Long,MIA,Boston Col.,3,1.3,0.0,1,0.0,False,False
2022,3,101,Jeremy Ruckert,NYJ,Ohio St.,2,1.3,0.0,0,0.0,False,False
2024,4,131,Jared Wiley,KAN,TCU,1,1.2,0.0,0,0.0,False,False
2021,5,168,Zach Davidson,MIN,Central Missouri St.,0,0.0,0.0,0,0.0,False,False
2022,6,192,Andrew Ogletree,IND,Youngstown St.,0,0.0,0.0,0,0.0,False,False
2022,6,213,John FitzPatrick,ATL,Georgia,0,0.0,0.0,0,0.0,False,False
2022,7,227,Nick Muse,MIN,South Carolina,0,0.0,0.0,0,0.0,False,False
2023,3,101,Cameron Latu,SFO,Alabama,0,0.0,0.0,0,0.0,False,False
2023,7,220,Zack Kuntz,NYJ,Old Dominion,0,0.0,0.0,0,0.0,False,False
2023,7,247,Brayden Willis,SFO,Oklahoma,1,0.0,0.0,0,0.0,False,False
2024,6,194,Tanner McLachlan,CIN,Arizona,0,0.0,0.0,0,0.0,False,False
2025,5,175,Robbie Ouzts,SEA,Alabama,4,0.0,0.0,0,0.0,False,False
2025,6,202,Gavin Bartholomew,MIN,Pittsburgh,0,0.0,0.0,0,0.0,False,False
2025,7,219,Thomas Fidone,NYG,Nebraska,1,0.0,0.0,0,0.0,False,False
2025,7,241,Caleb Lohner,DEN,Utah,0,0.0,0.0,0,0.0,False,False
2025,7,255,Luke Lachey,HOU,Iowa,0,0.0,0.0,0,0.0,False,False
