draft_year,round,pick,player,drafted_by,college,rookie_games,rookie_half_ppr_total,wk15_17_half_ppr_total,wk15_17_games_played,wk15_17_best_week,any_wk15_17_ge_15,any_wk15_17_ge_20
2023,5,177,Puka Nacua,LAR,BYU,17,246.0,52.5,3,28.5,True,True
2021,4,112,Amon-Ra St. Brown,DET,USC,16,182.3,72.4,3,31.4,True,True
2023,3,69,Tank Dell,HOU,Houston,10,141.5,0.0,0,0.0,False,False
2023,3,79,Josh Downs,IND,North Carolina,17,123.1,16.6,3,6.9,False,False
2024,3,92,Jalen McMillan,TAM,Washington,13,116.9,50.7,3,20.5,True,True
2025,4,103,Chimere Dike,TEN,Florida,17,104.1,22.7,3,11.5,False,False
2023,5,159,Dontayvion Wicks,GNB,Virginia,15,100.26,22.6,2,12.7,False,False
2025,4,136,Elic Ayomanor,TEN,Stanford,16,96.0,21.2,3,11.7,False,False
2023,3,94,Michael Wilson,ARI,Stanford,13,95.5,13.5,3,13.5,False,False
2024,7,235,Devaughn Vele,DEN,Utah,13,86.0,12.8,3,9.1,False,False
2023,6,210,DeMario Douglas,NWE,Liberty,14,82.7,20.5,3,9.9,False,False
2022,4,132,Romeo Doubs,GNB,Nevada,13,80.6,16.6,3,8.0,False,False
2025,7,235,Tez Johnson,TAM,Oregon,15,78.4,3.3,3,2.9,False,False
2021,3,77,Josh Palmer,LAC,Tennessee,15,76.4,17.9,3,12.8,False,False
2023,6,191,Trey Palmer,TAM,Nebraska,17,76.2,21.6,3,14.4,False,False
2025,3,70,Isaac TeSlaa,DET,Arkansas,14,67.9,25.6,3,13.2,False,False
2021,3,89,Nico Collins,HOU,Michigan,14,67.1,17.7,3,10.8,False,False
2023,3,100,Tre Tucker,LVR,Cincinnati,13,62.3,24.4,3,19.2,True,False
2025,3,74,Pat Bryant,DEN,Illinois,13,59.3,6.7,1,6.7,False,False
2025,5,166,Tory Horton,SEA,Colorado St.,8,58.6,0.0,0,0.0,False,False
2025,3,79,Jaylin Noel,HOU,Iowa St.,17,55.4,13.1,3,13.1,False,False
2023,6,195,A.T. Perry,NOR,Wake Forest,8,54.6,15.4,3,10.0,False,False
2024,4,102,Troy Franklin,DEN,Oregon,16,53.1,5.8,3,3.5,False,False
2023,3,73,Jalin Hyatt,NYG,Tennessee,13,48.8,4.0,2,4.0,False,False
2025,3,69,Kyle Williams,NWE,Washington St.,14,44.2,15.1,3,11.6,False,False
2024,6,184,Malik Washington,MIA,Virginia,14,43.8,17.0,3,7.7,False,False
2025,4,128,Jaylin Lane,WAS,Virginia Tech,15,43.2,6.0,2,6.0,False,False
2023,6,206,Andrei Iosivas,CIN,Princeton,11,43.1,6.6,2,5.6,False,False
2024,6,213,Jordan Whittington,LAR,Texas,14,41.5,1.1,3,1.1,False,False
2022,3,71,Velus Jones Jr.,CHI,Tennessee,11,34.5,6.3,3,6.2,False,False
2023,3,74,Cedric Tillman,CLE,Tennessee,11,33.7,10.8,3,7.2,False,False
2022,3,99,David Bell,CLE,Purdue,15,33.4,2.3,2,2.3,False,False
2023,6,185,Parker Washington,JAX,Penn St.,8,31.2,6.8,3,3.2,False,False
2023,4,125,Derius Davis,LAC,TCU,17,30.2,2.4,3,1.9,False,False
2023,6,197,Elijah Higgins,MIA,Stanford,11,29.3,18.2,3,12.4,False,False
2022,5,148,Khalil Shakir,BUF,Boise St.,10,29.1,3.0,1,3.0,False,False
2021,3,91,Anthony Schwartz,CLE,Auburn,13,28.4,9.4,2,9.4,False,False
2022,6,191,Jalen Nailor,MIN,Michigan St.,8,28.4,16.4,2,16.4,True,False
2023,7,253,Ronnie Bell,SFO,Michigan,13,27.8,7.7,3,7.7,False,False
2023,4,133,Tyler Scott,CHI,Cincinnati,13,27.4,8.6,2,6.1,False,False
2021,5,157,Ihmir Smith-Marsette,MIN,Iowa,6,26.1,7.2,1,7.2,False,False
2024,3,100,Luke McCaffrey,WAS,Rice,13,25.8,2.3,3,1.8,False,False
2025,6,208,Jimmy Horn,CAR,Colorado,10,23.2,5.6,3,2.5,False,False
2024,5,170,Bub Means,NOR,Pittsburgh,4,22.3,0.0,0,0.0,False,False
2021,3,82,Dyami Brown,WAS,North Carolina,10,22.1,9.3,3,6.3,False,False
2025,3,87,Savion Williams,GNB,TCU,12,20.5,0.9,1,0.9,False,False
2025,7,242,Konata Mumpfield,LAR,Pittsburgh,10,20.2,7.5,3,5.5,False,False
2021,7,249,Ben Skowronek,LAR,Notre Dame,12,18.8,9.0,3,6.2,False,False
2025,4,108,Dont'e Thornton,LVR,Tennessee,11,18.5,2.2,1,2.2,False,False
2023,6,205,Xavier Hutchinson,HOU,Iowa St.,12,17.9,4.6,3,2.3,False,False
2023,4,131,Charlie Jones,CIN,Purdue,11,17.2,2.4,3,2.0,False,False
2022,7,258,Samori Toure,GNB,Nebraska,4,16.7,0.0,0,0.0,False,False
2024,5,152,Ainias Smith,PHI,Texas A&M,3,14.2,0.0,0,0.0,False,False
2025,5,158,KeAndre Lambert-Smith,LAC,Auburn,10,13.6,9.6,3,8.1,False,False
2021,4,109,Dez Fitzpatrick,TEN,Louisville,3,13.4,0.0,0,0.0,False,False
2024,6,216,Ryan Flournoy,DAL,SE Missouri St.,9,13.2,6.4,2,5.6,False,False
2021,6,204,Shi Smith,CAR,South Carolina,5,13.1,10.1,2,10.1,False,False
2024,3,80,Jermaine Burton,CIN,Alabama,8,12.7,0.0,3,0.0,False,False
2024,6,185,Johnny Wilson,PHI,Florida St.,10,12.3,0.0,1,0.0,False,False
2022,5,163,Kyle Philips,TEN,UCLA,4,11.8,0.0,0,0.0,False,False
2021,7,258,Dax Milne,WAS,BYU,9,10.9,2.3,3,1.9,False,False
2024,4,135,Jacob Cowing,SFO,Arizona,15,10.7,0.0,3,0.0,False,False
2025,4,110,Arian Smith,NYJ,Georgia,13,10.0,1.0,3,1.0,False,False
2023,7,244,Jalen Brooks,DAL,South Carolina,3,9.4,0.0,0,0.0,False,False
2024,4,113,Devontez Walker,BAL,North Carolina,3,8.6,8.6,2,8.6,False,False
2021,4,129,Jaelon Darden,TAM,North Texas,9,8.4,0.0,1,0.0,False,False
2021,3,85,Amari Rodgers,GNB,Clemson,16,7.6,0.0,2,0.0,False,False
2022,6,202,Michael Woods II,CLE,Oklahoma,7,6.5,1.4,3,1.0,False,False
2022,5,162,Montrell Washington,DEN,Samford,15,5.2,0.0,2,0.0,False,False
2025,3,102,Tai Felton,MIN,Maryland,12,4.0,1.1,1,1.1,False,False
2021,6,219,Seth Williams,DEN,Auburn,1,3.9,3.9,1,3.9,False,False
2024,3,65,Malachi Corley,NYJ,Western Kentucky,5,3.7,0.0,0,0.0,False,False
2024,5,156,Jamari Thrash,CLE,Louisville,6,3.7,0.0,3,0.0,False,False
2021,7,229,Mike Strachan,IND,Charleston (WV),2,3.6,0.0,0,0.0,False,False
2025,4,138,Jordan Watkins,SFO,Mississippi,2,3.6,0.0,0,0.0,False,False
2022,7,233,Dareke Young,SEA,Lenoir-Rhyne,6,3.4,0.0,2,0.0,False,False
2021,4,131,Tylan Wallace,BAL,Oklahoma St.,10,3.3,3.3,2,2.3,False,False
2021,6,221,Dazz Newsome,CHI,North Carolina,3,3.3,1.5,2,1.5,False,False
2023,6,187,Kayshon Boutte,NWE,LSU,3,2.9,0.0,0,0.0,False,False
2024,5,142,Anthony Gould,IND,Oregon St.,8,2.8,2.8,3,2.8,False,False
2022,3,105,Danny Gray,SFO,SMU,7,2.4,0.9,3,0.9,False,False
2022,3,88,Jalen Tolbert,DAL,South Alabama,3,2.2,0.0,0,0.0,False,False
2021,6,187,Frank Darby,ATL,Arizona St.,4,1.9,0.0,1,0.0,False,False
2024,6,187,Casey Washington,ATL,Illinois,2,1.9,0.0,0,0.0,False,False
2024,4,110,Javon Baker,NWE,Central Florida,6,1.7,0.0,2,0.0,False,False
2025,4,133,Jalen Royals,KAN,Utah St.,2,1.4,0.0,0,0.0,False,False
2022,4,125,Erik Ezukanma,MIA,Texas Tech,1,0.8,0.0,0,0.0,False,False
2023,7,228,Colton Dowell,TEN,UT Martin,4,0.8,0.8,1,0.8,False,False
2024,6,182,Jha'Quan Jackson,TEN,Tulane,12,0.8,0.0,0,0.0,False,False
2023,7,219,Antoine Green,DET,North Carolina,2,0.7,0.0,0,0.0,False,False
2021,4,141,Jacob Harris,LAR,Central Florida,2,0.0,0.0,0,0.0,False,False
